family	category
Parvoviridae	eukaryotic_virus
Iflaviridae	eukaryotic_virus
Autotranscriptaviridae	bacteriophage
Unclassified viruses	unclassified
Fiersviridae	bacteriophage
Astroviridae	eukaryotic_virus
Andersonviridae	bacteriophage
Pneumoviridae	eukaryotic_virus
Papillomaviridae	eukaryotic_virus
Chimalliviridae	bacteriophage
Iridoviridae	eukaryotic_virus
Herelleviridae	bacteriophage
Potyviridae	eukaryotic_virus
Retroviridae	eukaryotic_virus
Peduoviridae	bacteriophage
Flaviviridae	eukaryotic_virus
Partitiviridae	eukaryotic_virus
Straboviridae	bacteriophage
Orthototiviridae	eukaryotic_virus
Picornaviridae	eukaryotic_virus
Solemoviridae	eukaryotic_virus
Casjensviridae	bacteriophage
Orthoherpesviridae	eukaryotic_virus
Virgaviridae	eukaryotic_virus
Genomoviridae	eukaryotic_virus
Nairoviridae	eukaryotic_virus
Pseudototiviridae	eukaryotic_virus
Baculoviridae	eukaryotic_virus
Grimontviridae	bacteriophage
Steitzviridae	bacteriophage
Microviridae	bacteriophage
Sarkviridae	bacteriophage
Chrysoviridae	eukaryotic_virus
Schitoviridae	bacteriophage
Kyanoviridae	bacteriophage
Schizomimiviridae	eukaryotic_virus
Tombusviridae	eukaryotic_virus
Rountreeviridae	bacteriophage
Adenoviridae	eukaryotic_virus
Aliceevansviridae	bacteriophage
Lispiviridae	eukaryotic_virus
Mimiviridae	eukaryotic_virus
Phycodnaviridae	eukaryotic_virus
Pithoviridae	eukaryotic_virus
Tymoviridae	eukaryotic_virus
Circoviridae	eukaryotic_virus
Demerecviridae	bacteriophage
Haloferuviridae	archaeal_virus
Marnaviridae	eukaryotic_virus
Poxviridae	eukaryotic_virus
Steigviridae	bacteriophage
Vandenendeviridae	bacteriophage
